id;kota;provinsi;hsbgn
Kota_40;PEKALONGAN;Jawa Tengah;4090000
Kota_57;PATI;Jawa Tengah;4130000
Kota_81;JOMBANG;Jawa timur;4164000
Kota_80;JEMBER;Jawa timur;4172000
Kota_41;MAGELANG;Jawa Tengah;4180000
Kota_49;CILACAP;Jawa Tengah;4200000
Kota_53;KEBUMEN;Jawa Tengah;4260000
Kota_8;BANTUL;Daerah Istimewa Yogyakarta;4270000
Kota_110;KOTA PROBOLINGGO;Jawa timur;4328000
Kota_60;PURWOREJO;Jawa Tengah;4369800
Kota_10;GUNUNGKIDUL;Daerah Istimewa Yogyakarta;4430000
Kota_132;BIREUEN;Aceh;4430000
Kota_112;LEBAK;Banten;4496000
Kota_69;KOTA PEKALONGAN;Jawa Tengah;4520000
Kota_42;TEGAL;Jawa Tengah;4530000
Kota_109;KOTA PASURUAN;Jawa timur;4546000
Kota_24;PANGANDARAN;Jawa Barat;4575204.727
Kota_32;KOTA BEKASI;Jawa Barat;4580000
Kota_43;BANJARNEGARA;Jawa Tengah;4600000
Kota_73;KOTA TEGAL;Jawa Tengah;4620000
Kota_75;BANYUWANGI;Jawa timur;4633000
Kota_84;LUMAJANG;Jawa timur;4655000
Kota_100;TRENGGALEK;Jawa timur;4655000
Kota_71;KOTA MAGELANG;Jawa Tengah;4660000
Kota_93;PASURUAN;Jawa timur;4666000
Kota_95;PROBOLINGGO;Jawa timur;4666000
Kota_63;SUKOHARJO;Jawa Tengah;4670000
Kota_117;KOTA SERANG;Banten;4710000
Kota_48;BREBES;Jawa Tengah;4715000
Kota_77;BOJONEGORO;Jawa timur;4731000
Kota_52;JEPARA;Jawa Tengah;4740000
Kota_104;KOTA BLITAR;Jawa timur;4742000
Kota_19;GARUT;Jawa Barat;4750000
Kota_58;PURBALINGGA;Jawa Tengah;4760000
Kota_65;WONOGIRI;Jawa Tengah;4760000
Kota_22;KUNINGAN;Jawa Barat;4780000
Kota_23;MAJALENGKA;Jawa Barat;4792138.141
Kota_374;POHUWATO;Gorontalo;4800000
Kota_46;BLORA;Jawa Tengah;4810000
Kota_89;NGANJUK;Jawa timur;4829000
Kota_59;PEMALANG;Jawa Tengah;4830000
Kota_288;SUMBAWA;Nusa Tenggara Barat;4830000
Kota_39;SEMARANG;Jawa Tengah;4850000
Kota_51;GROBOGAN;Jawa Tengah;4860000
Kota_139;KOTA LANGSA;Aceh;4860000
Kota_126;ACEH TAMIANG;Aceh;4880000
Kota_25;PURWAKARTA;Jawa Barat;4900000
Kota_17;CIANJUR;Jawa Barat;4910000
Kota_134;NAGAN RAYA;Aceh;4920000
Kota_78;BONDOWOSO;Jawa timur;4938000
Kota_131;BENER MERIAH;Aceh;4950000
Kota_105;KOTA KEDIRI;Jawa timur;4960000
Kota_433;WAKATOBI;Sulawesi Tenggara;4964860
Kota_13;BANDUNG BARAT;Jawa Barat;4972653.538
Kota_336;TANAH BUMBU;Kalimantan Selatan;4980000
Kota_18;CIREBON;Jawa Barat;5000000
Kota_375;KOTA GORONTALO;Gorontalo;5000000
Kota_96;SAMPANG;Jawa timur;5004000
Kota_54;KENDAL;Jawa Tengah;5010000
Kota_55;KLATEN;Jawa Tengah;5020000
Kota_62;SRAGEN;Jawa Tengah;5021540.823
Kota_12;BANDUNG;Jawa Barat;5029752.72
Kota_101;TUBAN;Jawa timur;5047000
Kota_169;KOTA BATAM;Riau;5050000
Kota_135;PIDIE;Aceh;5060000
